URL,Name/Alias,Gender
http://marvel.wikia.com/Phillip_Coulson_(Earth-616)#,Phillip Coulson,MALE
http://marvel.wikia.com/Victor_Mancha_(Earth-616)#,Victor Mancha,MALE
http://marvel.wikia.com/Monica_Chang_(Earth-616)#,Monica Chang,FEMALE
http://marvel.wikia.com/Doombot_(Avenger)_(Earth-616)#,,MALE
http://marvel.wikia.com/Alexis_(Earth-616)#,Alexis,FEMALE
http://marvel.wikia.com/Eric_Brooks_(Earth-616)#,Eric Brooks,MALE
http://marvel.wikia.com/Adam_Brashear_(Earth-616)#,Adam Brashear,MALE
http://marvel.wikia.com/Victor_Alvarez_(Earth-616)#,Victor Alvarez,MALE
http://marvel.wikia.com/Ava_Ayala_(Earth-616)#,Ava Ayala,FEMALE
http://marvel.wikia.com/Kaluu_(Earth-616)#,Kaluu,MALE
